TIPO,DISPOSITIVO,DESCRIPCIÓN,ESTADO DE COMPRA,SITIO DE COMPRA,PRECIO,,
Sensor,Sensores Quemados,MQ135 y DS18B20,Comprado,Dualtronica,24000,,
Sensor,Temperatura y Humedad Aire,DHT22 - AM2302,Comprado,Dualtronica,19000,,
Sensor,Higrómetro Capacitivo Suelo,Humedad de Suelo - 80443,Comprado,Dualtronica,15000,,
Sensor,CO2,MQ135 - 208,Comprado,Dualtronica,12000,,
Módulo,Módulo PH Agua,Modulo PH Agua para Arduino Sen0161,Comprado,Mercadolibre,46800,,
Sensor,PH Agua,Sonda PH Agua 0-14 No Recargable,Comprado,Mercadolibre,42000,,
Sensor,Luxómetro Interno,BH1750 (0-65535 lx),Comprado,Mercadolibre,14600,,
Sensor,Luxómetro Externo,BH1750 (0-65535 lx),Comprado,Mercadolibre,14600,,
Sensor,PH/Temperatura/Humedad/Conductividad Eléctrica Suelo,RS485,Comprado,Electronicas AFG,270000,,
Actuador,Calefactor,Ventilador Extractor  '' xx mm 12v dc,Existente,,0,,
Actuador,Persianas,Módulo de Persianas de 30x3cm (Impresos 3D) x4 ,Por Construir,,0,,
Actuador,Ventilador,"Ventilador Extractor  4,75'' 120x120x25 mm 24v dc",Comprado,Dualtronica,16000,,
Actuador,Extractor,"Ventilador Extractor  4,75'' 120x120x25 mm 24v dc",Comprado,Dualtronica,16000,,
Actuador,Bomba de Agua Humidificador,"Sumergible dc  12v 4,2w 240L/H - 80650",Comprado,Dualtronica,42000,,
Actuador,Bomba de Agua Riego,"Sumergible dc  12v 4,2w 240L/H - 80650",Comprado,Dualtronica,42000,,
Actuador,Luces,Tiras De Luz De Cultivo De Colores Mixtos Rwntao Modelo RTUSZWLYDT-MIX,Comprado,Mercadolibre,116700,,
Actuador,Calefactor,Resistencia Calefactora PTC 12v 240°c Ideal Para Incubadoras,Comprado,Mercadolibre,35000,,
Actuador,Calefactor,Disipador de Calor x2,Comprado,Dualtronica,16000,,
Actuador,Humidificador,Módulo Humidificador ultrasonico 5V con Conexión Tipo C,Comprado,Dualtronica,15000,,
Actuador,Persianas,Servo motor tipo no definido,Sin Comprar,Sin definir,,,
Actuador,Alerta PH,Buzzer activo (Buzzer Activo 5v - Zumbador 12x9.5mm),Comprado,Dualtronica,1500,,
Actuador,Alerta PH,Módulo Buzzer activo zumbador,Sin Comprar,Dualtronica,5000,,
Actuador,Alerta PH,Led Rojo,Comprado,Dualtronica,5750,,
Actuador,Alerta CE (por aumento),Buzzer activo (Buzzer Activo 5v - Zumbador 12x9.5mm),Comprado,Dualtronica,1500,,
Actuador,Alerta CE (por aumento),Módulo Buzzer activo zumbador,Sin Comprar,Dualtronica,5000,,
Actuador,Alerta CE (por aumento),Led Rojo,Comprado,Dualtronica,5750,,
Actuador,Alertas,Pantalla OLED de 3cm,Existente,-----------,0,,
Micro,Microcontrolador ,ESP32S,Comprado,Dualtronica,34000,,
Cable,Cable USB para Micro,Cable USB A Tipo C,Comprado,Dualtronica,10000,,
,,,,,,,
Manguera,Manguera Tanque/Bomba H -> Humidificador,"Manguera para Tanque de agua y Bomba de Humidificador 8,5mm 1,5m",Sin Comprar,23 con 11 o 12,,,
Manguera,Manguera Tanque/Bomba R -> Riego,"Manguera para Tanque de agua y Bomba de Riego 8,5mm 1,5m",Sin Comprar,23 con 11 o 12,,,
Tanque,Tanque de Agua,Tanque de Agua para Humidificación y Riego 5 Lt.,Sin Comprar,Tienda,,,
,,,,,,,
Componente,Luces,Mosfet IRFZ44N TO-220 (Control PWM Led Grow 5V),Comprado,Dualtronica,3000,,
Componente,Bomba de Agua Riego,Mosfet IRF540N TO-220 (Bomba 12V) x1,Comprado,Dualtronica,2500,,
Componente,Bomba de Agua Humidificador,Mosfet IRF540N TO-220 (Bomba 12V) x1,Comprado,Dualtronica,2500,,
Componente,Calefactor,Mosfet IRF540N TO-220 (Control PTC 12V) x2,Comprado,Dualtronica,5000,,
Componente,Ventilador / Extractor,Módulo Relé 2 Canales 5V ,Comprado,Dualtronica,12000,,
Componente,Humidificador,Modulo Rele 1 Canal 5V,Comprado,Dualtronica,8000,,
Componente,Sensor de Suelo,Modulo TTL A RS485 con MAX485 (Conversor UART -> RS485 5v),Comprado,Dualtronica,6000,,
Componente,Ventilador,Módulo Boost XL6009 (Convertidor elevador dc dc XL6009 tipo Booster DC DC) 12V -> 24V,Comprado,Dualtronica,10000,,
Componente,Extractor,Módulo Boost XL6009 (Convertidor elevador dc dc XL6009 tipo Booster DC DC) 12V -> 24V,Comprado,Dualtronica,10000,,
Componente,PTC / Bombas / Ventilador / Extractor,"Diodo 1N4007 x20 (Flyback: PTC, Bombas, Ventilador, Extractor)",Comprado,Electronicas AFG,5075,,
,,,,,,,
Componente,Rieles de Alimentación,Condensador 100 microF 25V x5,Comprado,Mundo Digital,5000,,
Componente,Temperatura y Humedad Aire,Resistencia 10 Kohms (Pull-up DHT22) x2,Comprado,Mundo Digital,1200,,
Componente,Bomba de Agua Riego,Resistencia 1 Kohms (Gate Resistor IRF540N) x4,Comprado,Mundo Digital,2400,,
Componente,Bomba de Agua Humidificador,Resistencia 1 Kohms (Gate Resistor IRF540N) x4,Comprado,Mundo Digital,2400,,
Componente,Borneras,Bornera de 2 Pines Azul(Conexión ESP32 a Actuadores de Potencia) x10,Comprado,Dualtronica,6000,,
Componente,Mosfet,Disipadores de Calor Mosfet (Disipadores En Aluminio Para Raspberry Pi x4),Comprado,Dualtronica,4500,,
Cable,Cable Dupont,Cable Dupont M-M (Conexiones Sensores a ESP32) x40 22cm,Comprado,Dualtronica,8000,,
Cable,Cable Dupont,Cable Dupont H-H (Conexiones Sensores a ESP32) x40 22cm,Comprado,Dualtronica,8000,,
Cable,Cable Dupont,Cable Dupont M-H (Conexiones Sensores a ESP32) x40 22cm,Comprado,Dualtronica,8000,,
Cable,Cable UTP,Cable 4x26Awg Encauchetado (fibras no alambre) 4mt,Comprado,Dualtronica,8800,,
Cable,Tubos Termoencogible,"Kit de tubos termoencogibles para aislamiento eléctrico x200 4,5cm",Comprado,Dualtronica,20000,,
,,,,,,,
Adaptador,Fuente Adaptador,"Fuente 5V 5A (Rail 5V: ESP32, Led's, Servo's, Relés)",Comprado,Mundo Digital,10000,,
Adaptador,Fuente Adaptador,"Fuente 12V 2A (Rail 12V: PTC, Bombas, Sensor RS485)",Comprado,Mundo Digital,10000,,
Adaptador,Fuente Adaptador,Conector de Fuente x2,Comprado,Mundo Digital,2000,,
,,,,,,,
Herramienta,Manilla Antiestática,Manilla Antiestática 1 mt x2,Comprado,Dualtronica,15600,,
Herramienta,Amarras Plásticas,Amarras Plásticas de Nylon 120mm x 2.5mm Negras x100,Comprado,Dualtronica,3200,,
Herramienta,Cinta Aislante,Cinta Aislante Negra Rollo de 18 metros,Comprado,Dualtronica,5000,,
,,,,,,,
,,,,,,,
OTROS,Calibrador,Calibrador Pie De Rey Digital Fibra De Carbono + Batería,Comprado,Electronicas AFG,25500,,
Envío,,,,Envíos,26775,,
,,,,,1061650,,
